sentence,label
"earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",2
the company continued the development of a fully human antibody in its vap-1 antibody program .,1
"the company operates a u.s. division in lisle , ill. .",1
nwc analysis,1
the hull of the vessel was built one block at a time and ruukki delivered the plate material for each block as construction progressed .,1
profit for the period was eur 15.6 mn compared to eur 14.1 mn in 2007 .,2
"country  , finland sector  construction-real estate target  pohjolan design-talo oy buyer  capman oyj vendor  ruukki group oyj deal size in usd  102.6 m type  divestment status  agreed",1
"cohen  steers , inc.  5 534 626 shares representing 4.985 % of the share capital and voting rights .",1
ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,2
"alpina sports is a lebanon , new hampshire usa based distributor of e.g. alpina ski shoes and skis , exel ski poles , start ski waxes and now also peltonen cross-country skis .",1
the investment will be worth approximately eur 100mn .,1
"the selling consortium includes funds managed by oko bank s venture capital unit , bio fund management and finnish industry investment , a government-owned investment group .",1
"comparable operating profit totaled eur 854mn , up from eur 730mn in 2004 .",2
the combined activities will create value for shareholders and be good for our employees and customers .,2
"our customers come from the following countries  uk , usa , spain , france , italy , germany , china , sweden , norway , netherlands , austria , belgium , switzerland , czech republic , serbia , finland , canada , russia , ukraine , portugal , denmark , ireland , south korea , estonia and liechtenstein .",1
neste shipping is the most likely to remain finnish as the oil sector and its transports are significant for emergency supply .,1
the proposal of the shareholders to elect mr. hannu krogerus to the board is based on his long and unrivalled experience and knowledge of all matters related to elcoteq .,1
the company then said it will focus its resources on clinical research .,1
finnish kci konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2
"however , the growth margin slowed down due to the financial crisis .",0
"the power supplies , dc power systems and inverters designed and manufactured by efore , and systems incorporating them are used in many different applications .",1
there is no room to modify the share component as we have already indicated .,1
the repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the convertible bonds .,1
"adpnews - feb 5 , 2010 - finnish real estate investor sponda oyj hel  sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a profit of eur 29.3 million in 2008 .",0
"the new apartment block is going up very close to the city center , explained chairman of the board of as yit ehitus priit sauk .",1
the non-recurring costs caused to talentum s premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company s financial results for the second quarter of 2007 .,1
"alma media s operating profit amounted to eur 11.9 mn , down from eur 15.0 mn a year earlier .",0
finnish vacon has signed significant deals with norwegian scandinavian electric systems  ses  on the supply of ac drives .,2
outotec s net profit for the second quarter of 2007 jumped to 16.8 mln euro  $ 23.1 mln  from 4.6 mln euro  $ 6.3 mln  a year ago .,2
