headline,label,label_name,source
$ALLY - Ally Financial pulls outlook https://t.co/G9Zdi1boy5,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"$DELL $HPE - Dell, HPE targets trimmed on compute headwinds https://t.co/YRUHZw7cYl",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
$PRTY - Moody's turns negative on Party City https://t.co/MBD5TFGC4P,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
$SAN: Deutsche Bank cuts to Hold,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
$SITC: Compass Point cuts to Sell,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
$TAP - Barclays cools on Molson Coors https://t.co/FJFsZWJHuH,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
$TAP: Barclays cuts to Equal Weight,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"Analysts Eviscerate Musk's Cybertruck: ""0% Of Responses Felt It Will Be A Success"" https://t.co/2NTzeZea4G",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Barclays assigns only a 20% chance that studies on a Gilead antiviral drug being done in China will succeed against… https://t.co/lIgDhy1Gli,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
BTIG points to breakfast pressure for Dunkin' Brands,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"Children's Place downgraded to neutral from outperform at Wedbush, price target slashed to $60 from $130",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Clovis Oncology downgraded to in line from outperform at Evercore ISI,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Downgrades 4/7: $AAN $BDN $BECN $BTE $CDEV $CHK $COOP $CPE $CVA $DAN $DOC $DRH $EPR $ESRT $ETM $FAST $FBM $GM $GMS… https://t.co/CMXD50oQxI,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Goldman pulls Progressive from Goldman's conviction list; shares -2.7%,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Hanesbrands downgraded to underperform vs. neutral at BofA Merrill Lynch,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Intelsat cut to Market Perform at Raymond James,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
